Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Main Cuisine,Cuisine Count
Khichdi Paradise,"Home Food, Desserts, Beverages, Healthy Food",,250,Arekere,Home Food,4
Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.9,160,Arekere,North Indian,7
THE GRILL & CO.,"Indian, Tandoor, Biryani",,300,Arekere,Indian,3
555 Darjeeling Unique Asian Cuisine,Asian,,300,Arekere,Asian,1
Momo Guy ,"Asian, Tibetan, Desserts, Beverages",,200,Arekere,Asian,4
BigBites,"Street Food, Fast Food, Tex-Mex",,300,Arekere,Street Food,3
Domino's Pizza,Pizzas,,400,Arekere,Pizzas,1
UDTA PUNJABI SWAD,"Indian, Tandoor, Biryani, Chinese",,250,Arekere,Indian,4
Samosa Singh,"Snacks, North Indian, Desserts, Beverages",,150,Arekere,Snacks,4
HUNGER TREATS,"Burgers, Snacks",,300,Arekere,Burgers,2
Mr Bix,"Pizzas, American",,300,Arekere,Pizzas,2
SNACKITAREA,"Continental, Indian, Chaat, Beverages, Desserts",,300,Arekere,Continental,5
Healthy Beverages by Adigas,"Beverages, Juices, Healthy Food",,200,Arekere,Beverages,3
Kouzina Kafe - The Food Court,"Bakery, Fast Food, Beverages, American, Ice Cream, Desserts",,150,Arekere,Bakery,6
Indian Sweets Snacks And Chats,"Street Food, Snacks",,40,Arekere,Street Food,2
Sandos 'n Grills,"American, Continental, Italian, Pastas, Beverages, Desserts",,450,Arekere,American,6
Subway,"Fast Food, Salads, Snacks, Desserts, Beverages",,350,Arekere,Fast Food,5
New Kabab Zone,"North Indian, Chinese, Biryani",3.9,250,Arekere,North Indian,3
Charvi's,"Healthy Food, Salads, Juices, Fast Food",,200,Arekere,Healthy Food,4
Chopito (Salad's and Pasta),"Indian, Salads, Pastas",,250,Arekere,Indian,3
Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",,150,Arekere,Bakery,7
Haage Vegetarian,"Snacks, Indian, Juices",,200,Arekere,Snacks,3
Crown Restaurant,"Indian, Chinese",3.7,300,Arekere,Indian,2
Aromatic Biryani ,"Biryani, Snacks",,400,Arekere,Biryani,2
New Atithi Biryani Corner,Indian,,220,Arekere,Indian,1
BRAHMINS CHATS And FAST FOOD,Chaat,,150,Arekere,Chaat,1
ANNAPOORNESHWARI DONNE BIRIYANI,"Biryani, Indian, Chinese",,350,Arekere,Biryani,3
Quad Pizza,"Pizzas, Fast Food, Desserts, Italian, American",,400,Arekere,Pizzas,5
LASSI CORNER,"Ice Cream, Fast Food, Desserts, Beverages",,150,Arekere,Ice Cream,4
Just Delicious,"North Indian, Snacks, Chaat, Desserts, Punjabi, Rajasthani, Thalis, Maharashtria...",,300,Arekere,North Indian,8
Thakkali Kitchens,"Kerala, South Indian, Indian, Chinese",3.8,399,Arekere,Kerala,4
Iyengar Amma Pastries,"Bakery, Snacks, Sweets",,300,Arekere,Bakery,3
Snack Ride,"Snacks, Chaat, Street Food",,250,Arekere,Snacks,3
Hot Tandoor,"North Indian, Chinese, Tandoor, Beverages",,300,Arekere,North Indian,4
Love towards Momos,Chinese,,220,Arekere,Chinese,1
PAWAN SWEETS,Sweets,,360,Arekere,Sweets,1
NAALNAAD MANE,"Indian, South Indian, Desserts",,438,Arekere,Indian,3
Dumwala,"Biryani, Desserts",,200,Arekere,Biryani,2
GOWHEY- HEALTHY DESSERT COMPANY,"Ice Cream, Healthy Food, Desserts",,200,Arekere,Ice Cream,3
SLV lassi corner,Beverages,,60,Arekere,Beverages,1
Chavadi,"Continental, Pizzas, Mangalorean",,450,Arekere,Continental,3
The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream, Healthy Food",,200,Arekere,Desserts,3
Amul Ice Cream Parlour (DLF Main Road),"Desserts, Ice Cream, Beverages",,99,Arekere,Desserts,3
Sandwich Guru,"Snacks, Beverages",,150,Arekere,Snacks,2
Onfly Biryani,"Biryani, Chinese, Snacks",,400,Arekere,Biryani,3
Box Asia - Chinese and More,"Chinese, Continental, Fast Food",,300,Arekere,Chinese,3
Juice and Lassi,Beverages,,140,Arekere,Beverages,1
ANDHRA KITCHEN,Chinese,,250,Arekere,Chinese,1
HOTEL AMULYA VEG & NON VEG,"Indian, Biryani",,300,Arekere,Indian,2
Mealful Rolls - Meals in a Roll,"Fast Food, North Indian, Desserts",,250,Arekere,Fast Food,3
Ishta Cafe - Millet Pizzas,"Pizzas, Salads, Beverages, Healthy Food",3.7,400,Arekere,Pizzas,4
Swad E Punjabi,Indian,,200,Arekere,Indian,1
Paratha Envy,North Indian,,249,Arekere,North Indian,1
Meha's Biriyani,"Biryani, Indian, Chinese",,380,Arekere,Biryani,3
Green Cravings,"Healthy Food, Continental, Keto, Indian, Salads",,250,Arekere,Healthy Food,5
New Udupi Veg,"South Indian, Chinese, Chaat, North Indian",3.7,200,Arekere,South Indian,4
HOTEL RAYAN AMBUR DUM BIRIYANI,"Biryani, South Indian, Indian",,200,Arekere,Biryani,3
Suchi Ruchi Food Point,"Snacks, South Indian, Indian",,300,Arekere,Snacks,3
Veggie Food World,Fast Food,,200,Arekere,Fast Food,1
K R NATI STYLE HOTEL,"North Indian, Biryani, South Indian",,300,Arekere,North Indian,3
GUNDU PALAV SGS NON VEG - ORIGINAL,Indian,3.4,200,Arekere,Indian,1
Kundapura Coffee,Beverages,,200,Arekere,Beverages,1
Ice Cream Palace (Cool Zone),Desserts,,100,Arekere,Desserts,1
Dindigul Thalappakatti,"Biryani, Barbecue, Chinese, North Indian, South Indian",3.8,650,Arekere,Biryani,5
Biryanis by ITC Master Chef,"Biryani, Kebabs",,650,Arekere,Biryani,2
LIQUID LAMA,Beverages,,300,Arekere,Beverages,1
Prashanth Gowdru Badoota,"Indian, Tandoor, Chinese",,400,Arekere,Indian,3
KFC,"American, Snacks",3.9,400,Arekere,American,2
Green Mirchi,"Indian, North Indian",,250,Arekere,Indian,2
Soup Station,"Continental, Healthy Food",3.8,300,Arekere,Continental,2
The Dessert Zone,"Bakery, Desserts, Ice Cream, Beverages",,200,Arekere,Bakery,4
GURU PALACE,"Chinese, Indian, Tandoor, Seafood, Biryani, Punjabi",,500,Arekere,Chinese,6
Chaatimes,"Chaat, Beverages",,150,Arekere,Chaat,2
Mega Biryani,"Biryani, Hyderabadi",,400,Arekere,Biryani,2
The Bowl Company,"Continental, Indian, Pan-Asian, Desserts, Chinese, Biryani, Sweets",,300,Arekere,Continental,7
homely,"Home Food, North Indian, South Indian, Beverages, Desserts, Thalis",,200,Arekere,Home Food,6
Just Shawarma,Lebanese,3.7,150,Arekere,Lebanese,1
NAMANA GARDEN,"South Indian, North Indian",3.3,140,Arekere,South Indian,2
Iyengars Bakery,Bakery,,100,Arekere,Bakery,1
Food Court By Kitchens@,"Biryani, Mughlai, Seafood, Kerala, Andhra, Chinese, North Indian, South Indian, ...",3.7,300,Arekere,Biryani,9
Mr. Pings kitchen,Chinese,,200,Arekere,Chinese,1
Amma's Pastries,"Bakery, Desserts",,350,Arekere,Bakery,2
DESI CHOWK,"Indian, North Indian, Tandoor",3.8,299,Arekere,Indian,3
Gajanan Mithai Ghar,"Bakery, Snacks, Sweets",,100,Arekere,Bakery,3
Oven Story Pizza,"Pizzas, Italian",3.7,400,Arekere,Pizzas,2
Rolls Mania,North Indian,,200,Arekere,North Indian,1
Miya Bhai Barbeques,"Arabian, Snacks",,250,Arekere,Arabian,2
Pastas By Pizza Hut,"Pastas, Pizzas, Italian, Fast Food, Beverages",,300,Arekere,Pastas,5
Superman Momos,"Chinese, Tibetan, Nepalese, Beverages, Pizzas, Combo",,800,Arekere,Chinese,6
WELCOME FOOD JUNCTION,"North Indian, Chinese, Biryani",,500,Arekere,North Indian,3
Zomoz - The Momo Company,"Tibetan, Chinese, Asian, Street Food, Fast Food",,250,Arekere,Tibetan,5
Five Star Chicken,"Fast Food, Snacks",,260,Arekere,Fast Food,2
Chakka Manga Thenga,"Kerala, Seafood",,250,Arekere,Kerala,2
Chaat & Chinese By Just Delicious,"Chaat, Snacks, Indian",,250,Arekere,Chaat,3
NOTO - Healthy Ice Cream,"Ice Cream, Healthy Food, Desserts",,300,Arekere,Ice Cream,3
cafe kanthari,"Kerala, South Indian",,250,Arekere,Kerala,2
Madras Meal Company,"Chettinad, South Indian",3.9,250,Arekere,Chettinad,2
ZAZA 22 Spice Biryani,"Biryani, North Indian, Mughlai",3.4,250,Arekere,Biryani,3
Maa Reddy's Hyderabadi Biryani House,"Biryani, Indian, Andhra, Chinese, Hyderabadi, Seafood",3.4,400,Arekere,Biryani,6
Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",,250,Arekere,Tibetan,8
JAKAAS PIZZA ZONE,"Bengali, Punjabi, Fast Food",,250,Arekere,Bengali,3
UDUPI UPAHAR,"Chinese, South Indian, Beverages",,100,Arekere,Chinese,3
NEW HOT GRILL,"Arabian, North Indian, Chinese",,350,Arekere,Arabian,3
Juice Shop,"Juices, Ice Cream, Desserts, Beverages",,150,Arekere,Juices,4
5461 CAFE,American,,200,Arekere,American,1
SRI RADHE RASOI,"North Indian, Desserts, Beverages",,250,Arekere,North Indian,3
Noodle King Asian Bowls,"Thai, Chinese, Pan-Asian",3.7,500,Arekere,Thai,3
Maa Ki Khichdi,"Home Food, Desserts, Beverages",,250,Arekere,Home Food,3
Tuckshop Cafe,"American, Fast Food, Snacks, Combo",,200,Arekere,American,4
Estaa Sweets,"Sweets, Snacks",,300,Arekere,Sweets,2
Delhi Swad,"North Indian, Chinese, Biryani, Snacks, Salads",,200,Arekere,North Indian,5
Hungry Tubs,"Chinese, Snacks",,250,Arekere,Chinese,2
FreshMenu,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",3.9,250,Arekere,Chinese,9
The North Delicacy,"North Indian, Sweets, Combo",,400,Arekere,North Indian,3
Pizza Hut,Pizzas,3.8,350,Arekere,Pizzas,1
Samosa King & biryani challengers,"Biryani, Chinese, Combo, Indian",,399,Arekere,Biryani,4
Habibi Falafel,"Lebanese, Arabian",,300,Arekere,Lebanese,2
Davanagere benne dosa corner,South Indian,,250,Arekere,South Indian,1
BABU BIRIYANI CENTER,"Biryani, Chinese, Chaat",,250,Arekere,Biryani,3
Chit Pat Chat,Fast Food,,250,Arekere,Fast Food,1
Donne Biriyani House,Biryani,,250,Arekere,Biryani,1
Centric,Beverages,,400,Arekere,Beverages,1
BIG MISHRA PEDHA,"Desserts, Snacks",,200,Arekere,Desserts,2
Panda Momos,"Asian, Tibetan, Desserts, Beverages",,200,Arekere,Asian,4
Big Pitcher,"Chinese, Desserts, North Indian, Biryani",,400,Arekere,Chinese,4
Eato India,"Indian, Chinese",,99,Arekere,Indian,2
Juice Ghar,"Juices, Fast Food, Snacks, Beverages",,250,Arekere,Juices,4
Lissys Taste Buds,"South Indian, Combo, Kerala",,200,Arekere,South Indian,3
brahmalingeshwara coffee shop,Beverages,,150,Arekere,Beverages,1
SWAD LAJABAB,North Indian,,300,Arekere,North Indian,1
Dairy Day Ice Creams,"Ice Cream, Desserts",,200,Arekere,Ice Cream,2
Maharaja Military Canteen,South Indian,3.8,350,Arekere,South Indian,1
Dande's Hyderabad Biryani,"Andhra, Biryani, Hyderabadi",,400,Arekere,Andhra,3
Vishal Foods,North Indian,3.6,280,Arekere,North Indian,1
Biryani Mount,"Biryani, North Indian, Combo, Beverages, Desserts",,250,Arekere,Biryani,5
New Tasty Hotel,"Biryani, Indian",,300,Arekere,Biryani,2
TASTY THINDI,"Biryani, Combo, Indian",,300,Arekere,Biryani,3
PizzaByte,Pizzas,,300,Arekere,Pizzas,1
Thalassery Restaurant,"South Indian, Biryani, Kerala, North Indian, Chinese",3.9,300,Arekere,South Indian,5
Waffle Walle,"Waffle, Desserts, Ice Cream, European, American, Snacks, Beverages, Bakery",3.8,250,Arekere,Waffle,8
Kanti Sweets,Desserts,,100,Arekere,Desserts,1
SLV REDDY MILITARY HOTEL,"Biryani, Indian",,300,Arekere,Biryani,2
L V IYENGARS BAKERY,"Bakery, Snacks, Sweets",,150,Arekere,Bakery,3
"Bombay Kulfi- Kulfis,Desserts, Icecream","Desserts, Ice Cream",,100,Arekere,Desserts,2
Dosa Vilas,"Andhra, South Indian",,200,Arekere,Andhra,2
Leon Grill,"American, Snacks, Turkish, Portuguese, Continental",,300,Arekere,American,5
MOMO JUNCTION,"Fast Food, Snacks",3.5,150,Arekere,Fast Food,2
